Part Name,Color,Quantity,Part ID,Color Code
"Brick  2 x  6","Red",4,2456.dat,4
"Brick  2 x  4","Red",8,3001.dat,4
"Brick  2 x  4","White",6,3001.dat,15
"Brick  2 x  4","Lime",5,3001.dat,27
"Brick  2 x  2","White",5,3003.dat,15
"Brick  1 x  1","Yellow",2,3005.dat,14
"Brick  1 x  6","Yellow",3,3009.dat,14
"Technic Brick  1 x  2 with Axlehole with Open Sides and Bottom Stud","Dark Grey",1,32064c.dat,8
"Brick  8 x 16","Dark Grey",1,4204.dat,8
"=Brick  2 x  6","White",1,44237.dat,15
"Plate  1 x 12","White",1,60479.dat,15
"Plate  3 x  3 Corner","White",2,77844.dat,15
"Electric Servo Motor Brick  5 x  2 x  3","Light Grey",1,geekservo1.dat,7
